filename,baunvo-1,baunvo-2,baunvo-3,baunvo-4,baunvo-4a,baunvo-5,baunvo-5a,baunvo-6,baunvo-6a,baunvo-7,baunvo-8,baunvo-9,baunvo-10,baunvo-11,baunvo-12,baunvo-13,baunvo-13a,baunvo-14,baunvo-15,baunvo-16,baunvo-17,baunvo-18,baunvo-19,baunvo-20,baunvo-21,baunvo-21a,13b
35085_6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
35085_7.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
35085_8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
35085_9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
36230_0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
36230_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
37749_0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
39851_0.jpg,,,,['4 baunvo'],,,,,,,,,,,,,,,,,,,['grz'],['gfz'],,,
39892_0.jpg,,,,,,,,,,,,,,"['11 baunvo', 'sonstige sondergebiete']",,,,,,,,,['grz'],"['vollgeschosse', 'gfz']",,,
39892_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,['stellplätze'],
40183_0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
40747_0.jpg,,,,,,,,,,,,,,,,,,,,,,,,['vollgeschosse'],,,
43115_0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
43115_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
43115_2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
43115_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
43115_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
4466_0.jpg,,,,,,,,,,,,,,,,,,,,,,,['grz'],['gfz'],,,
47282_0.jpg,,,['3 baunvo'],,,,,,,,,,,,,,,,,,,,['grz'],['gfz'],,,
48619_0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
48619_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
48619_2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
48847_0.jpg,,,,,,,,,,,,,,,,,,,,,,,['grz'],,,,
49844_0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_1.jpg,,,,,,,,,,,,,,,,,,,,['16 baunvo'],,,,,,,
49844_10.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_11.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_12.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_13.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_14.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_15.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_16.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_17.jpg,,,,,,,,,,,,['industriegebiete'],,,,,,,,,,,,,,,
49844_18.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_19.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_2.jpg,,,,,,,,,,,"['8 baunvo', 'gewerbegebiete']",,,,,,,,,['16 baunvo'],,,"['grundflächenzahl', 'grz']","['vollgeschosse', 'geschossfläche', 'gfz']",['baumasse'],,
49844_20.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_21.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_22.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
49844_4.jpg,,,,,,,,,,,['gewerbegebiete'],,,,,,,,,,,,,,,,
