Hinweis zu den Daten,Name,Nummer,Beschreibung,Gemeindekennzeichen,Stadt/Gemeinde,Planart,Datum des Inkrafttretens,Rechtsstand (vorbehaltlich aktueller Änderungen),URL des Rasterbildes,URL zur Legende,URL der textlichen Festsetzung,URL zur Begründung
"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Kitzenhofener_Strasse,KEH_318,,9273127,Herrngiersdorf,Qualifizierter BPlan,26.11.1965,Rechtskraft,https://gdiserv.bayern.de/bauleitplanung/,https://okgis.osrz-akdb.de/keh/downloads/bplan/09273_127_021_000/siehe TextURL,https://okgis.osrz-akdb.de/keh/downloads/bplan/bplan/249d0750-8eb6-4efb-9af0-37a0d80be79b/09273_127_021_000/Kitzenhofener_Strasse.pdf,
"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",KEH_321,KEH_321,"An der Kitzenhofener Straße, DB 03",9273127,Herrngiersdorf,Qualifizierter BPlan,10.09.1992,Rechtskraft,https://wms1.riwagis.de/kelheim_lk_bp/bp-plaene/herrngiersdorf/kitzenhofener_strasse_db_03-0.tif,https://wms1.riwagis.de/kelheim_lk_bp/bp-dateien/herrngiersdorf/g-kitzenhofener_strasse_db_03.pdf,https://wms1.riwagis.de/kelheim_lk_bp/bp-dateien/herrngiersdorf/kitzenhofener_strasse_db_03.pdf,https://wms1.riwagis.de/kelheim_lk_bp/bp-dateien/herrngiersdorf/g-kitzenhofener_strasse_db_03.pdf
"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Kitzenhofener_Strasse_DB_03,KEH_321,,9273127,Herrngiersdorf,Qualifizierter BPlan,11.09.1992,Rechtskraft,https://gdiserv.bayern.de/bauleitplanung/,https://okgis.osrz-akdb.de/keh/downloads/bplan/09273_127_021_030/siehe TextURL,https://okgis.osrz-akdb.de/keh/downloads/bplan/bplan/1a181c23-c9d9-4d01-b55f-685155feae1e/09273_127_021_030/Kitzenhofener_Strasse_DB_03.pdf,
"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",KEH_317,KEH_317,An der Schule,9273127,Herrngiersdorf,Qualifizierter BPlan,17.09.1992,Rechtskraft,https://wms1.riwagis.de/kelheim_lk_bp/bp-plaene/herrngiersdorf/an_der_schule-0.tif,https://wms1.riwagis.de/kelheim_lk_bp/bp-dateien/herrngiersdorf/g-an_der_schule.pdf,https://wms1.riwagis.de/kelheim_lk_bp/bp-dateien/herrngiersdorf/an_der_schule.pdf,https://wms1.riwagis.de/kelheim_lk_bp/bp-dateien/herrngiersdorf/g-an_der_schule.pdf
"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",An_der_Schule,KEH_317,,9273127,Herrngiersdorf,Qualifizierter BPlan,18.09.1992,Rechtskraft,https://gdiserv.bayern.de/bauleitplanung/,https://okgis.osrz-akdb.de/keh/downloads/bplan/09273_127_020_000/siehe TextURL,https://okgis.osrz-akdb.de/keh/downloads/bplan/bplan/b95be829-f031-4f7e-ab7d-4d22c0174a3b/09273_127_020_000/An_der_Schule.pdf,
"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",KEH_318,KEH_318,An der Kitzenhofener Straße,9273127,Herrngiersdorf,Qualifizierter BPlan,,Rechtskraft,https://wms1.riwagis.de/kelheim_lk_bp/bp-plaene/herrngiersdorf/kitzenhofener_strasse-0.tif,https://wms1.riwagis.de/kelheim_lk_bp/bp-dateien/herrngiersdorf/g-kitzenhofener_strasse.pdf,https://wms1.riwagis.de/kelheim_lk_bp/bp-dateien/herrngiersdorf/kitzenhofener_strasse.pdf,https://wms1.riwagis.de/kelheim_lk_bp/bp-dateien/herrngiersdorf/g-kitzenhofener_strasse.pdf
