id,Hinweis zu den Daten,Name,Nummer,Beschreibung,Gemeindekennzeichen,Stadt/Gemeinde,Planart,Datum des Inkrafttretens,Rechtsstand(vorbehaltlich aktueller Änderungen),URL des Rasterbildes,URL zur Legende,URL der textlichen Festsetzung
452,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Ebenäcker (Änderung 10),09275-156-001_010-0,"13. Änderung zu Urplan ""Ebenäcker""",9275156,Wegscheid,qualifizierter Bebauungsplan,1993-12-16,Rechtskraft,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_10.pdf,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_10.pdf,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_10.pdf
453,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Säumerweg,09275-156-006_000-0,Urplan,9275156,Wegscheid,qualifizierter Bebauungsplan,1995-01-23,Rechtskraft,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Saeumerweg/Saeumerweg.PDF,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Saeumerweg/Saeumerweg.PDF,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Saeumerweg/Saeumerweg.PDF
454,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Säumerweg (Änderung 1),09275-156-006_001-0,"1. Änderung zu Urplan ""Säumerweg""",9275156,Wegscheid,qualifizierter Bebauungsplan,1996-09-26,Rechtskraft,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Saeumerweg/Saeumerweg_Deckblatt_1.PDF,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Saeumerweg/Saeumerweg_Deckblatt_1.PDF,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Saeumerweg/Saeumerweg_Deckblatt_1.PDF
455,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Ebenäcker (Änderung 11),09275-156-001_011-0,"14. Änderung zu Urplan ""Ebenäcker""",9275156,Wegscheid,qualifizierter Bebauungsplan,1998-02-23,Rechtskraft,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_11.PDF,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_11.PDF,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_11.PDF
456,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Ebenäcker (Änderung 12),09275-156-001_012-0,"15. Änderung zu Urplan ""Ebenäcker""",9275156,Wegscheid,qualifizierter Bebauungsplan,1998-02-23,Rechtskraft,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_12.pdf,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_12.pdf,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_12.pdf
457,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.","MI, SO und GE Hacklhäuser",09275-156-007_000-0,Urplan,9275156,Wegscheid,qualifizierter Bebauungsplan,1999-01-13,Rechtskraft,"http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/MI,_SO_und_GE_Hacklhaeuser/MI,_SO_und_GE_Hacklhaeuser.PDF","http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/MI,_SO_und_GE_Hacklhaeuser/MI,_SO_und_GE_Hacklhaeuser.PDF","http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/MI,_SO_und_GE_Hacklhaeuser/MI,_SO_und_GE_Hacklhaeuser.PDF"
458,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Ebenäcker (Änderung 13),09275-156-001_013-0,"16. Änderung zu Urplan ""Ebenäcker""",9275156,Wegscheid,qualifizierter Bebauungsplan,1999-08-09,Rechtskraft,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_13.pdf,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_13.pdf,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_13.pdf
459,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Ebenäcker (Änderung 17),09275-156-001_017-0,"22. Änderung zu Urplan ""Ebenäcker""",9275156,Wegscheid,qualifizierter Bebauungsplan,2000-05-05,Rechtskraft,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_17.pdf,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_17.pdf,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ebenaecker/Ebenaecker_Deckblatt_17.pdf
460,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Siebenbrunnenwiesen (Änderung 3),09275-156-004_003-0,"3. Änderung zu Urplan ""Siebenbrunnenwiesen""",9275156,Wegscheid,qualifizierter Bebauungsplan,2000-06-09,Rechtskraft,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Siebenbrunnenwiesen/Siebenbrunnenwiesen_Deckblatt_3.pdf,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Siebenbrunnenwiesen/Siebenbrunnenwiesen_Deckblatt_3.pdf,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Siebenbrunnenwiesen/Siebenbrunnenwiesen_Deckblatt_3.pdf
461,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Ameisbergblick,09275-156-008_000-0,Urplan,9275156,Wegscheid,qualifizierter Bebauungsplan,2000-08-30,Rechtskraft,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ameisbergblick/Ameisbergblick.PDF,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ameisbergblick/Ameisbergblick.PDF,http://www.landkreis-passau.de/internet-links/Gemeinden/Wegscheid/Bebauungsplaene/Ameisbergblick/Ameisbergblick.PDF
