Nummer,Datum des Inkrafttretens,Stadt/Gemeinde
Großostheim_049-000,1970-11-26,Großostheim
Großostheim_049-002,2010-12-09,Großostheim
Großostheim_055-000,1964-09-22,Großostheim
Großostheim_056-001,1981-05-08,Großostheim
Großostheim_055-001,1995-12-07,Großostheim
Großostheim_054-000,2008-06-05,Großostheim
Großostheim_056-002,2010-12-09,Großostheim
Großostheim_055-002,2011-02-17,Großostheim
Großostheim_069-000,2012-03-22,Großostheim
Großostheim_063-006,2003-08-21,Großostheim
Großostheim_061-000,1975-05-16,Großostheim
Großostheim_064-000,1977-01-24,Großostheim
Großostheim_064-001,1978-04-21,Großostheim
Großostheim_064-002,1979-03-02,Großostheim
Großostheim_064-003,1983-10-21,Großostheim
Großostheim_061-005,1994-09-08,Großostheim
Großostheim_059-000,1994-11-24,Großostheim
Großostheim_064-004,1995-12-07,Großostheim
Großostheim_059-001,1996-02-08,Großostheim
Großostheim_059-002,1996-05-23,Großostheim
Großostheim_059-003,1997-07-24,Großostheim
Großostheim_058-000,1997-10-16,Großostheim
Großostheim_059-004,1998-02-26,Großostheim
Großostheim_062-000,1999-02-11,Großostheim
Großostheim_062-002,2010-12-09,Großostheim
Großostheim_064-005,2010-12-09,Großostheim
Großostheim_059-006,2010-12-16,Großostheim
Großostheim_075-000,2015-11-19,Großostheim
Großostheim_061-004,1983-01-28,Großostheim
Großostheim_061-002,1987-05-15,Großostheim
Großostheim_061-003,1988-12-02,Großostheim
Großostheim_061-007,1997-10-16,Großostheim
Großostheim_058-001,1999-02-11,Großostheim
Großostheim_062-001,2001-06-13,Großostheim
Großostheim_061-009,2005-06-23,Großostheim
017_000,1988-04-22,Mömlingen
Großostheim_080-000,1964-09-07,Großostheim
Großostheim_049-001,1995-02-09,Großostheim
Großostheim_052-000,2006-07-20,Großostheim
Großostheim_052-001,2010-04-22,Großostheim
Großostheim_057-000,1976-01-01,Großostheim
Großostheim_051-000,1983-10-28,Großostheim
Großostheim_053-001,1984-09-21,Großostheim
Großostheim_053-002,1989-07-14,Großostheim
Großostheim_051-001,1989-08-18,Großostheim
Großostheim_057-001,1995-02-09,Großostheim
Großostheim_057-002,1995-04-20,Großostheim
Großostheim_057-003,1997-04-17,Großostheim
Großostheim_050-006,2006-06-22,Großostheim
Großostheim_051-002,2010-12-09,Großostheim
Großostheim_053-003,2010-12-09,Großostheim
Ggroßostheim_081-000,2017-10-26,Großostheim
Großostheim_045-000,1967-07-18,Großostheim
Großostheim_045-001,2010-12-09,Großostheim
Großostheim_035-000,1967-07-18,Großostheim
Großostheim_036-000,1973-09-07,Großostheim
Großostheim_035-001,1993-03-25,Großostheim
Großostheim_036-001,2010-12-09,Großostheim
Großostheim_035-002,2010-12-09,Großostheim
Großostheim_067-000,1977-06-16,Großostheim
Großostheim_061-001,1987-02-13,Großostheim
Großostheim_061-008,2002-10-17,Großostheim
Stockstadt_072-000,2002-06-14,Stockstadt a.Main
Stockstadt_015-007,2008-07-25,Stockstadt a.Main
Stockstadt_040-001,2009-02-27,Stockstadt a.Main
Stockstadt_050-003,2012-02-02,Stockstadt a.Main
Stockstadt_110-000,1988-01-29,Stockstadt a.Main
Stockstadt_110-002,2008-09-05,Stockstadt a.Main
333_1,2002-09-27,Stadt Alzenau i. UFr.
333_16,2002-09-27,Stadt Alzenau i. UFr.
333_17,2011-11-02,Stadt Alzenau i. UFr.
306_4,1994-10-25,Stadt Alzenau i. UFr.
306_13,1979-09-07,Stadt Alzenau i. UFr.
306_6,1985-10-17,Stadt Alzenau i. UFr.
306_1,1991-10-18,Stadt Alzenau i. UFr.
005_000,1992-12-11,Mömlingen
019_000,1981-07-30,Mömlingen
008_000,1990-10-05,Mömlingen
Großostheim_042-000,1964-03-09,Großostheim
Großostheim_048-000,1969-02-07,Großostheim
Großostheim_039-000,1976-03-05,Großostheim
Großostheim_046-000,1977-09-16,Großostheim
Großostheim_046-001,1979-03-09,Großostheim
Großostheim_040-000,1980-01-25,Großostheim
Großostheim_047-001,1981-03-13,Großostheim
Großostheim_046-002,1982-02-26,Großostheim
Großostheim_038-000,1989-11-10,Großostheim
Großostheim_038-001,1993-07-29,Großostheim
Großostheim_038-002,1996-02-22,Großostheim
Großostheim_040-002,1996-05-15,Großostheim
Großostheim_038-003,1996-07-25,Großostheim
Großostheim_038-004,1996-08-01,Großostheim
Großostheim_040-001,1997-02-20,Großostheim
Großostheim_038-005,1997-12-04,Großostheim
Großostheim_038-006,2002-09-19,Großostheim
Großostheim_042-001,2010-12-09,Großostheim
Großostheim_040-003,2010-12-09,Großostheim
Großostheim_046-003,2010-12-09,Großostheim
Großostheim_039-001,2010-12-09,Großostheim
Großostheim_047-002,2010-12-09,Großostheim
Großostheim_038-007,2010-12-09,Großostheim
Großostheim_068-000,2012-04-11,Großostheim
Großostheim_038-008,2015-07-16,Großostheim
Großostheim_014-000,1980-10-31,Großostheim
Großostheim_037-001,1982-05-28,Großostheim
Großostheim_041-000,1984-10-26,Großostheim
Großostheim_037-002,1984-10-26,Großostheim
Großostheim_044-000,1985-01-25,Großostheim
Großostheim_043-000,1988-07-15,Großostheim
Großostheim_041-001,2000-06-15,Großostheim
Großostheim_043-001,2001-05-31,Großostheim
Großostheim_041-002,2001-10-11,Großostheim
Großostheim_041-003,2002-05-16,Großostheim
Großostheim_079-000,2008-10-30,Großostheim
Großostheim_037-003,2010-12-09,Großostheim
Großostheim_031-005,2011-04-21,Großostheim
Großostheim_040-004,2018-08-30,Großostheim
Großostheim_079-000_1,2019-06-06,Großostheim
Großostheim_031-000,1977-07-27,Großostheim
Großostheim_023-000,1989-02-03,Großostheim
Großostheim_030-000,1989-04-28,Großostheim
Großostheim_031-003,1991-04-25,Großostheim
Großostheim_023-001,1991-05-02,Großostheim
Großostheim_030-001,1992-01-30,Großostheim
Großostheim_031-004,1994-02-17,Großostheim
Großostheim_030-002,2003-06-26,Großostheim
Großostheim_023-002,2005-06-16,Großostheim
Großostheim_030-003,2005-06-16,Großostheim
Großostheim_018-000,1983-05-06,Großostheim
Großostheim_018-001,1989-09-22,Großostheim
Großostheim_018-007,2002-06-27,Großostheim
Großostheim_019-000,2006-07-21,Großostheim
Großostheim_019-001,2014-10-31,Großostheim
Großostheim_078-000,2002-03-07,Großostheim
Großostheim_077_000,2003-06-12,Großostheim
Stockstadt_030-009,2010-12-10,Stockstadt a.Main
Stockstadt_005-000,1977-12-09,Stockstadt a.Main
Stockstadt_035-001,1988-12-16,Stockstadt a.Main
Stockstadt_105-000,1992-09-18,Stockstadt a.Main
Stockstadt_115-000,1994-09-22,Stockstadt a.Main
Stockstadt_120-000,1997-03-07,Stockstadt a.Main
Stockstadt_110-001,1994-10-28,Stockstadt a.Main
Stockstadt_027-000,2003-10-02,Stockstadt a.Main
Stockstadt_055-002,2006-11-24,Stockstadt a.Main
322_15,2017-12-01,Stadt Alzenau i. UFr.
306_29,1967-10-05,Stadt Alzenau i. UFr.
306_27,1971-08-13,Stadt Alzenau i. UFr.
306_52,1984-05-11,Stadt Alzenau i. UFr.
306_34,2004-05-07,Stadt Alzenau i. UFr.
306_17,2008-03-14,Stadt Alzenau i. UFr.
306_40,2010-07-30,Stadt Alzenau i. UFr.
306_53,1985-09-13,Stadt Alzenau i. UFr.
306_54,1994-06-30,Stadt Alzenau i. UFr.
306_51,1996-11-08,Stadt Alzenau i. UFr.
306_7,1996-11-08,Stadt Alzenau i. UFr.
306_37,1996-11-22,Stadt Alzenau i. UFr.
306_38,2005-05-27,Stadt Alzenau i. UFr.
306_39,2011-12-30,Stadt Alzenau i. UFr.
306_41,2013-05-31,Stadt Alzenau i. UFr.
306_48,2017-09-22,Stadt Alzenau i. UFr.
012_000,1964-04-03,Mömlingen
002_000,1964-09-04,Mömlingen
009_000,1967-01-27,Mömlingen
001_000,1981-07-24,Mömlingen
004_000,1982-02-26,Mömlingen
014_000,1983-03-18,Mömlingen
015_000,1992-05-15,Mömlingen
008_001,1998-10-16,Mömlingen
001_001,2014-05-16,Mömlingen
011_000,1974-05-17,Mömlingen
006_000,1976-04-21,Mömlingen
007_000,1995-12-15,Mömlingen
014_001,2000-10-27,Mömlingen
014_002,2003-10-10,Mömlingen
Großostheim_028-000,1983-01-07,Großostheim
Großostheim_004-000,1965-03-13,Großostheim
Großostheim_022-000,1967-07-01,Großostheim
Großostheim_004-001,1974-06-21,Großostheim
Großostheim_004-002,1974-09-12,Großostheim
Großostheim_033-000,1976-01-23,Großostheim
Großostheim_021-000,1979-08-17,Großostheim
Großostheim_013-000,1980-10-31,Großostheim
Großostheim_031-001,1981-10-16,Großostheim
Großostheim_006-000,1982-04-30,Großostheim
Großostheim_005-000,1982-07-30,Großostheim
Großostheim_005-001,1984-12-21,Großostheim
Großostheim_031-002,1985-01-18,Großostheim
Großostheim_006-001,1986-04-18,Großostheim
Großostheim_021-001,1989-09-08,Großostheim
Großostheim_004-003,1992-06-12,Großostheim
Großostheim_001-000,1995-12-05,Großostheim
Großostheim_034-000,1996-02-22,Großostheim
Großostheim_002-000,1996-05-16,Großostheim
Großostheim_024-000,2000-12-21,Großostheim
Großostheim_024-001,2002-07-11,Großostheim
Großostheim_006-002,2004-03-13,Großostheim
Großostheim_004-004,2004-05-28,Großostheim
Großostheim_024-002,2005-08-11,Großostheim
Großostheim_024-003,2007-01-11,Großostheim
Großostheim_021-002,2010-07-16,Großostheim
Großostheim_022-003,2010-12-10,Großostheim
Großostheim_002-001,2012-12-02,Großostheim
Großostheim_002-002,2016-03-11,Großostheim
Großostheim_084-000,2019-03-08,Großostheim
Großostheim_008-000,1965-03-20,Großostheim
Großostheim_027-000,1968-05-25,Großostheim
Großostheim_003-000,1968-12-07,Großostheim
Großostheim_025-000,1972-01-14,Großostheim
Großostheim_025-001,1974-09-09,Großostheim
Großostheim_008-001,1975-07-14,Großostheim
Großostheim_008-002,1977-07-15,Großostheim
Großostheim_025-002,1978-04-28,Großostheim
Großostheim_022-001,1979-03-02,Großostheim
Großostheim_010-000,1980-01-18,Großostheim
Großostheim_012-000,1980-10-31,Großostheim
Großostheim_025-003,1982-02-26,Großostheim
Großostheim_008-004,1993-08-26,Großostheim
Großostheim_025-004,1995-04-20,Großostheim
Großostheim_018-005,1996-07-25,Großostheim
Großostheim_008-005,1998-11-12,Großostheim
Großostheim_022-002,2000-05-31,Großostheim
Großostheim_018-008,2003-06-26,Großostheim
Großostheim_017-000,2006-11-02,Großostheim
Großostheim_003-004,2010-12-10,Großostheim
Großostheim_025-005,2010-12-10,Großostheim
Großostheim_027-001,2010-12-10,Großostheim
Großostheim_008-007,2010-12-10,Großostheim
Großostheim_010-001,2010-12-10,Großostheim
Großostheim_070-000,2011-01-13,Großostheim
Großostheim_009-001,2011-01-28,Großostheim
Großostehem_071-000,2014-11-21,Großostheim
Großostheim_025-006,2016-08-04,Großostheim
Großostheim_026-000,1964-07-18,Großostheim
Großostheim_032-000,1976-07-05,Großostheim
Großostheim_008-003,1979-03-02,Großostheim
Großostheim_016-000,1983-05-06,Großostheim
Großostheim_016-001,1989-09-22,Großostheim
Großostheim_032-001,1989-09-22,Großostheim
Großostheim_018-002,1990-10-11,Großostheim
Großostheim_018-003,1992-07-16,Großostheim
Großostheim_020-000,2000-12-21,Großostheim
Großostheim_020-001,2002-06-27,Großostheim
Großostheim_018-006,2002-06-27,Großostheim
Großostheim_032-003,2002-09-19,Großostheim
Großostheim_008-006,2002-09-19,Großostheim
Großostheim_020-002,2007-02-01,Großostheim
Großostheim_026-001,2010-12-10,Großostheim
Großostheim_018-009,2017-09-14,Großostheim
Großostheim_011-000,1972-10-10,Großostheim
Großostheim_011-001,1983-09-02,Großostheim
Stockstadt_022-001,1983-10-21,Stockstadt a.Main
Stockstadt_070-001,1988-09-16,Stockstadt a.Main
Stockstadt_020-003,2008-06-27,Stockstadt a.Main
Stockstadt/026-000,2017-03-24,Stockstadt a.Main
Stockstadt_085-000,1971-07-23,Stockstadt a.Main
Stockstadt_060-001,1976-03-29,Stockstadt a.Main
Stockstadt_075-002,1976-05-01,Stockstadt a.Main
Stockstadt_050-001,1983-07-29,Stockstadt a.Main
Stockstadt_090-003,1988-12-23,Stockstadt a.Main
Stockstadt_095-002,1990-01-19,Stockstadt a.Main
Stockstadt_010-002,1993-02-12,Stockstadt a.Main
Stockstadt_100-000,1995-08-18,Stockstadt a.Main
Stockstadt_012-000,1999-07-01,Stockstadt a.Main
Stockstadt_080-005,2004-07-30,Stockstadt a.Main
Stockstadt_012-001,2009-02-27,Stockstadt a.Main
Mainaschaff_004-000,1964-02-21,Mainaschaff
Mainaschaff_005-000,1964-10-23,Mainaschaff
Mainaschaff_004-002,1971-02-19,Mainaschaff
Mainaschaff_004-003,1974-12-20,Mainaschaff
Mainaschaff_004-005,1987-07-17,Mainaschaff
Mainaschaff_005-001,2000-10-27,Mainaschaff
Stockstadt_047-000,2001-01-19,Stockstadt a.Main
Mainaschaff_030-001,2004-03-26,Mainaschaff
Stockstadt_032-000,2012-02-02,Stockstadt a.Main
Mainaschaff_002-000,1964-09-11,Mainaschaff
Mainaschaff_002-001,1973-03-16,Mainaschaff
Mainaschaff_004-004,1984-05-25,Mainaschaff
Mainaschaff_002-003,1989-04-21,Mainaschaff
Mainaschaff_002-004,1994-02-25,Mainaschaff
Mainaschaff_016-000,1997-11-28,Mainaschaff
Mainaschaff_003-000,2003-12-05,Mainaschaff
Mainaschaff_016-001,2004-04-23,Mainaschaff
333_8,1963-09-20,Stadt Alzenau i. UFr.
333_6,1975-03-14,Stadt Alzenau i. UFr.
333_3,1984-11-09,Stadt Alzenau i. UFr.
333_5,1998-02-13,Stadt Alzenau i. UFr.
333_2,2004-06-18,Stadt Alzenau i. UFr.
333_21,2020-03-09,Stadt Alzenau i. UFr.
333_7,1984-07-20,Stadt Alzenau i. UFr.
333_9,1997-04-25,Stadt Alzenau i. UFr.
333_13,1997-04-25,Stadt Alzenau i. UFr.
333_12,2000-06-09,Stadt Alzenau i. UFr.
333_14,2002-10-25,Stadt Alzenau i. UFr.
333_18,2012-08-10,Stadt Alzenau i. UFr.
333_19,2015-06-26,Stadt Alzenau i. UFr.
322_4,1995-11-09,Stadt Alzenau i. UFr.
306_50,2018-01-12,Stadt Alzenau i. UFr.
306_23,1968-02-08,Stadt Alzenau i. UFr.
306_25,1969-02-27,Stadt Alzenau i. UFr.
322_12,1972-04-06,Stadt Alzenau i. UFr.
322_5,1977-01-28,Stadt Alzenau i. UFr.
322_6,1978-04-07,Stadt Alzenau i. UFr.
322_7,1979-09-21,Stadt Alzenau i. UFr.
322_3,1981-05-01,Stadt Alzenau i. UFr.
322_10,1986-08-01,Stadt Alzenau i. UFr.
322_13,1997-04-25,Stadt Alzenau i. UFr.
322_2,2010-08-13,Stadt Alzenau i. UFr.
306_26,1967-09-07,Stadt Alzenau i. UFr.
306_31,1969-03-27,Stadt Alzenau i. UFr.
306_49,1975-01-31,Stadt Alzenau i. UFr.
306_30,1976-10-22,Stadt Alzenau i. UFr.
306_12,1983-10-14,Stadt Alzenau i. UFr.
306_14,1990-05-04,Stadt Alzenau i. UFr.
306_9,1991-09-06,Stadt Alzenau i. UFr.
306_20,1997-09-26,Stadt Alzenau i. UFr.
306_21,2000-02-24,Stadt Alzenau i. UFr.
306_35,2005-02-07,Stadt Alzenau i. UFr.
306_18,2005-12-22,Stadt Alzenau i. UFr.
306_15,2009-10-23,Stadt Alzenau i. UFr.
306_43,2015-10-16,Stadt Alzenau i. UFr.
306_42,2018-02-09,Stadt Alzenau i. UFr.
306_33,1969-09-11,Stadt Alzenau i. UFr.
306_22,1971-01-16,Stadt Alzenau i. UFr.
306_3,1977-09-09,Stadt Alzenau i. UFr.
306_32,1983-11-11,Stadt Alzenau i. UFr.
306_44,2016-03-25,Stadt Alzenau i. UFr.
013_000,2006-02-13,Kirchzell
004_000,1999-03-02,Amorbach
013_000,1979-02-02,Mömlingen
013_001,1998-07-03,Mömlingen
018_000,1965-03-12,Mömlingen
016_000,1965-03-12,Mömlingen
010_000,1979-06-22,Mömlingen
021_000,2008-03-28,Mömlingen
020_000,2011-07-22,Mömlingen
003_000,1977-10-12,Mömlingen
Großostheim_029-000,1983-01-07,Großostheim
Großostheim_029-001,1999-07-15,Großostheim
Großostheim_007-000,1966-12-17,Großostheim
Großostheim_007-001,1977-07-22,Großostheim
Großostheim_007-002,1979-04-27,Großostheim
Großostheim_007-003,1980-02-01,Großostheim
Großostheim_007-004,1993-08-26,Großostheim
Großostheim_003-002,1997-12-05,Großostheim
Großostheim_003-003,2002-02-08,Großostheim
Großostheim_007-006,2010-12-10,Großostheim
Großostheim_003-005,2016-05-25,Großostheim
Großostheim_072-000,2017-03-09,Großostheim
Großostheim_015-000,1980-10-31,Großostheim
Großostheim_032-002,1991-11-14,Großostheim
Großostheim_007-005,2002-05-16,Großostheim
09_06,1989-10-13,Aschaffenburg
09_03 (Änderung 1),1995-01-13,Aschaffenburg
09/07,2023-07-03,Aschaffenburg
Stockstadt_065-001,1980-07-11,Stockstadt a.Main
Stockstadt_045-001,2010-11-19,Stockstadt a.Main
10_02,1998-08-21,Aschaffenburg
Mainaschaff_014-000,1958-08-30,Mainaschaff
Mainaschaff_018-000,1963-12-20,Mainaschaff
Mainaschaff_008-000,1965-03-19,Mainaschaff
Mainaschaff_010-000,1971-02-19,Mainaschaff
Mainaschaff_013-000,1973-03-16,Mainaschaff
Mainaschaff_014-001,1975-08-08,Mainaschaff
Mainaschaff_015-000,1978-02-10,Mainaschaff
Mainaschaff_018-001,1981-04-24,Mainaschaff
Mainaschaff_001-007,1994-02-18,Mainaschaff
Mainaschaff_026-000,1994-02-25,Mainaschaff
Mainaschaff_010-001,1995-02-10,Mainaschaff
Mainaschaff_008-001,1995-08-11,Mainaschaff
Mainaschaff_015-001,1995-08-11,Mainaschaff
Mainaschaff_018-002,1995-08-11,Mainaschaff
Mainaschaff_027-000,1997-05-16,Mainaschaff
Mainaschaff_033-000,1997-12-12,Mainaschaff
Mainaschaff_034-000,1998-11-13,Mainaschaff
Mainaschaff_010-002,1999-08-13,Mainaschaff
Mainaschaff_036-000,2000-09-29,Mainaschaff
Mainaschaff_010-003,2001-07-27,Mainaschaff
Mainaschaff_002-008,2003-07-25,Mainaschaff
Mainaschaff_001-009,2007-09-21,Mainaschaff
Mainaschaff_013-001,2010-12-13,Mainaschaff
Mainaschaff_033-001,2012-01-17,Mainaschaff
Mainaschaff_026-001,2016-11-25,Mainaschaff
Mainaschaff_011-000,1968-12-13,Mainaschaff
Mainaschaff_007-000,1970-11-27,Mainaschaff
Mainaschaff_012-000,1972-08-04,Mainaschaff
Mainaschaff_019-000,1982-01-19,Mainaschaff
Mainaschaff_022-000,1984-11-16,Mainaschaff
Mainaschaff_023-000,1986-10-24,Mainaschaff
Mainaschaff_002-002,1987-11-27,Mainaschaff
Mainaschaff_011-001,1988-09-09,Mainaschaff
Mainaschaff_025-000,1992-09-25,Mainaschaff
Mainaschaff_011-002,1994-09-13,Mainaschaff
Mainaschaff_002-005,1995-04-07,Mainaschaff
Mainaschaff_028_000,1996-04-12,Mainaschaff
Mainaschaff_032-000,1998-03-06,Mainaschaff
Mainaschaff_002-006,1998-09-25,Mainaschaff
Mainaschaff_002-007,2000-06-23,Mainaschaff
Mainaschaff_029-000,2000-06-30,Mainaschaff
Mainaschaff_037-000,2001-07-20,Mainaschaff
Mainaschaff_028_001,2003-06-06,Mainaschaff
Mainaschaff_029-001,2005-09-23,Mainaschaff
Mainaschaff_022-001,2006-09-08,Mainaschaff
333_4,1967-03-17,Stadt Alzenau i. UFr.
333_15,2005-05-27,Stadt Alzenau i. UFr.
333_20,2016-08-26,Stadt Alzenau i. UFr.
333_10,1980-02-22,Stadt Alzenau i. UFr.
333_11,1985-01-18,Stadt Alzenau i. UFr.
322_11,1975-03-27,Stadt Alzenau i. UFr.
322_8,1976-12-16,Stadt Alzenau i. UFr.
322_16,1979-02-10,Stadt Alzenau i. UFr.
322_9,1986-08-01,Stadt Alzenau i. UFr.
322_17,1989-10-20,Stadt Alzenau i. UFr.
322_1,2000-04-28,Stadt Alzenau i. UFr.
306_24,1980-08-22,Stadt Alzenau i. UFr.
306_16,2004-05-07,Stadt Alzenau i. UFr.
322_14,2015-04-16,Stadt Alzenau i. UFr.
306_28,1977-04-21,Stadt Alzenau i. UFr.
306_8,1991-09-06,Stadt Alzenau i. UFr.
306_10,1994-09-16,Stadt Alzenau i. UFr.
306_46,2016-03-25,Stadt Alzenau i. UFr.
306_45,2016-03-25,Stadt Alzenau i. UFr.
306_19,2016-03-25,Stadt Alzenau i. UFr.
306_5,2017-10-20,Stadt Alzenau i. UFr.
306_55,2020-02-07,Stadt Alzenau i. UFr.
306_11,1977-02-17,Stadt Alzenau i. UFr.
306_2,1977-06-03,Stadt Alzenau i. UFr.
307_8,1978-04-21,Stadt Alzenau i. UFr.
306_36,1999-04-02,Stadt Alzenau i. UFr.
004_001,1999-03-16,Amorbach
040_000,1995-08-31,Obernburg a.Main
040_001,2001-10-31,Obernburg a.Main
025_000,1980-02-15,Obernburg a.Main
034_000,1984-03-01,Obernburg a.Main
014_000,1987-11-25,Obernburg a.Main
035_000,1991-12-11,Obernburg a.Main
025_001,1994-03-29,Obernburg a.Main
028_000,1998-04-16,Obernburg a.Main
008_000,2002-11-14,Obernburg a.Main
019_000,1980-02-01,Obernburg a.Main
020_000,1984-10-01,Obernburg a.Main
020_001,1988-08-17,Obernburg a.Main
020_002,1999-01-14,Obernburg a.Main
008_000,1990-01-05,Niedernberg
007_000,2010-05-28,Niedernberg
09_03,1985-03-22,Aschaffenburg
09_04,1986-01-24,Aschaffenburg
09_04 (Änderung 2),1996-04-12,Aschaffenburg
09_04 (Änderung 1),1996-04-12,Aschaffenburg
09_01,1994-10-14,Aschaffenburg
09_05,1997-04-11,Aschaffenburg
10_02 (Änderung 1),2002-04-26,Aschaffenburg
Mainaschaff_006-000,1963-10-11,Mainaschaff
Mainaschaff_009-000,1967-09-08,Mainaschaff
Mainaschaff_009-001,1977-11-25,Mainaschaff
Mainaschaff_017-000,1979-08-31,Mainaschaff
Mainaschaff_020-000,1983-04-15,Mainaschaff
Mainaschaff_017-001,1990-03-23,Mainaschaff
Mainaschaff_017-002,1990-07-27,Mainaschaff
Mainaschaff_006-001,1992-02-28,Mainaschaff
Mainaschaff_017-003,1995-02-10,Mainaschaff
Mainaschaff_009-002,1995-08-11,Mainaschaff
Mainaschaff_025-001,2000-07-21,Mainaschaff
Mainaschaff_021-000,2002-04-12,Mainaschaff
Mainaschaff_020-001,2007-07-13,Mainaschaff
16_01,1974-03-22,Aschaffenburg
16_01 (Änderung 6),1997-10-02,Aschaffenburg
Mainaschaff_035-000,2001-01-26,Mainaschaff
Mainaschaff_035-001,2005-09-23,Mainaschaff
Mainaschaff_035-002,2011-07-15,Mainaschaff
Mainaschaff_029-002,2011-07-15,Mainaschaff
307_7,1978-03-10,Stadt Alzenau i. UFr.
307_6,1994-03-18,Stadt Alzenau i. UFr.
307_4,2000-12-03,Stadt Alzenau i. UFr.
307_11,2006-01-05,Stadt Alzenau i. UFr.
307_9,2006-12-22,Stadt Alzenau i. UFr.
306_47,2016-03-25,Stadt Alzenau i. UFr.
307_13,2016-07-29,Stadt Alzenau i. UFr.
307_5,1980-02-22,Stadt Alzenau i. UFr.
307_1,1995-11-24,Stadt Alzenau i. UFr.
307_2,1996-12-06,Stadt Alzenau i. UFr.
307_3,1997-01-17,Stadt Alzenau i. UFr.
307_10,2003-06-20,Stadt Alzenau i. UFr.
307_12,2014-09-19,Stadt Alzenau i. UFr.
308_10,1977-11-04,Stadt Alzenau i. UFr.
014_000,1700-01-01,Kirchzell
035_001,1999-10-28,Obernburg a.Main
011_000,1962-02-26,Obernburg a.Main
023_000,1965-08-14,Obernburg a.Main
009_000,1968-02-15,Obernburg a.Main
022_000,1969-06-16,Obernburg a.Main
010_000,1973-10-05,Obernburg a.Main
036_000,1974-01-16,Obernburg a.Main
031_000,1980-07-01,Obernburg a.Main
013_000,1986-12-10,Obernburg a.Main
024_001,1991-03-19,Obernburg a.Main
013_001,1992-05-20,Obernburg a.Main
017_000,1993-11-24,Obernburg a.Main
037_000,1994-04-13,Obernburg a.Main
031_002,1995-03-02,Obernburg a.Main
023_002,2001-10-18,Obernburg a.Main
017_001,2001-10-18,Obernburg a.Main
017_002,2004-09-16,Obernburg a.Main
031_003,2006-04-13,Obernburg a.Main
031_001,1992-04-01,Obernburg a.Main
041_000,2009-12-10,Obernburg a.Main
010_000,2011-06-10,Niedernberg
012_000,2010-10-20,Niedernberg
016_000,1971-03-26,Niedernberg
017_000,1975-02-28,Niedernberg
26_01 (Änderung 1),1976-10-29,Aschaffenburg
26_07,1987-10-02,Aschaffenburg
26_01 (Änderung 5),1987-12-18,Aschaffenburg
10_01,1979-07-06,Aschaffenburg
10_01 (Änderung 1),1991-10-25,Aschaffenburg
08_09,0209-10-23,Aschaffenburg
08_03,1969-09-05,Aschaffenburg
08_03 (Änderung 1),1970-06-26,Aschaffenburg
08_04,1981-01-23,Aschaffenburg
08_06,1986-02-28,Aschaffenburg
08_06 (Änderung 1),1988-08-19,Aschaffenburg
08_07,2000-04-14,Aschaffenburg
08_02,2001-03-02,Aschaffenburg
08_08 (Änderung 1),2008-08-08,Aschaffenburg
13_01,1967-11-17,Aschaffenburg
13_09,1967-11-24,Aschaffenburg
13_08,1976-01-23,Aschaffenburg
13_01 (Änderung 1),1998-05-15,Aschaffenburg
13_03_2,1976-08-14,Aschaffenburg
13_08_1,1978-07-28,Aschaffenburg
13_03_3,1982-08-13,Aschaffenburg
16_01 (Änderung 3),1988-04-15,Aschaffenburg
15_01 (Änderung 1),1989-04-04,Aschaffenburg
15_02_1,1990-02-09,Aschaffenburg
16_01 (Änderung 5),1996-08-02,Aschaffenburg
13_10,2011-01-28,Aschaffenburg
13_08 (Änderung 2),2017-07-03,Aschaffenburg
15_01 (Änderung 2),2018-01-02,Aschaffenburg
17_02,1974-08-02,Aschaffenburg
17_02 (Änderung 1),1976-08-27,Aschaffenburg
16_01a,1976-11-26,Aschaffenburg
16_03,1977-10-28,Aschaffenburg
16_09,1979-06-22,Aschaffenburg
16_01 (Änderung 1),1982-05-07,Aschaffenburg
16_01 (Änderung 2),1983-12-23,Aschaffenburg
16_01 (Änderung 4),1989-07-28,Aschaffenburg
16_01a (Änderung 1),1992-04-03,Aschaffenburg
16_07,1997-01-17,Aschaffenburg
16_01 (Änderung 7),2001-10-12,Aschaffenburg
16_06,2005-01-14,Aschaffenburg
16_09 (Änderung 1),2006-07-28,Aschaffenburg
16_02,1975-08-22,Aschaffenburg
16_13,1976-01-23,Aschaffenburg
16_17,1990-04-20,Aschaffenburg
16_18,2010-11-19,Aschaffenburg
Mömbris_012-000,1989-06-29,Mömbris
308_3,1972-05-29,Stadt Alzenau i. UFr.
308_21,2002-04-12,Stadt Alzenau i. UFr.
308_7,2002-10-11,Stadt Alzenau i. UFr.
308_18,2006-06-09,Stadt Alzenau i. UFr.
308_6,2010-02-26,Stadt Alzenau i. UFr.
308_11,1972-07-18,Stadt Alzenau i. UFr.
308_25,1977-02-25,Stadt Alzenau i. UFr.
308_2,1977-08-12,Stadt Alzenau i. UFr.
308_14,1977-10-07,Stadt Alzenau i. UFr.
308_12,1980-11-14,Stadt Alzenau i. UFr.
308_13,1981-10-16,Stadt Alzenau i. UFr.
308_1,1988-10-16,Stadt Alzenau i. UFr.
308_20,1994-08-24,Stadt Alzenau i. UFr.
308_15,1997-06-06,Stadt Alzenau i. UFr.
308_16,2002-08-02,Stadt Alzenau i. UFr.
308_19,2007-11-09,Stadt Alzenau i. UFr.
308_17,2013-10-29,Stadt Alzenau i. UFr.
